name,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated
A Caban,namsor_api_2.0.30,LATIN,772b0ffb-07e2-4d5e-a8bc-78a59c2681c8,A Caban,male,-0.059993912,0.495403704,0.529996956
A Cabasson,namsor_api_2.0.30,LATIN,15d9ccbc-e0bb-4f7c-a4c4-526060c06d1d,A Cabasson,male,-0.063209935,0.639710835,0.531604967
A Caccioppola,namsor_api_2.0.30,LATIN,665874db-e83a-4722-aec6-7a352c80d7e2,A Caccioppola,female,0.06663779,0.801015311,0.533318895
A Cal,namsor_api_2.0.30,LATIN,a2de363b-c0f1-4c3e-85a4-cc94bab0de8d,A Cal,male,-0.068102473,0.872963068,0.534051237
A Chance,namsor_api_2.0.30,LATIN,790594b3-6d68-45bc-91b5-6d64433da531,A Chance,male,-0.063034199,0.631669548,0.531517099
A Chance,namsor_api_2.0.30,LATIN,b9e5c420-05ae-4acd-91ca-c81e9357964b,A Chance,male,-0.063034199,0.631669548,0.531517099
A Chance,namsor_api_2.0.30,LATIN,d702e885-70ce-45ea-9874-4ca692648473,A Chance,male,-0.063034199,0.631669548,0.531517099
A Chancé,namsor_api_2.0.30,LATIN,abc6ccae-da61-49d0-b6a5-c8eb720ef5c8,A Chancé,male,-0.067458245,0.841064511,0.533729122
A Chauhan,namsor_api_2.0.30,LATIN,2e5ff672-0607-4857-af36-df60c431ece0,A Chauhan,male,-0.065266895,0.735416548,0.532633448
A Chieregato,namsor_api_2.0.30,LATIN,b966f4a1-d8b7-4783-b51a-057096201a11,A Chieregato,female,0.053865728,0.232671094,0.526932864
A Christie,namsor_api_2.0.30,LATIN,91e9b8e8-abd0-4723-b4a9-ecd706d7c90e,A Christie,female,0.068230175,0.879335635,0.534115088
A Cianchi,namsor_api_2.0.30,LATIN,34c60bcc-8ace-49b2-98e7-1c9d44e44e6e,A Cianchi,male,-0.053560766,0.219874226,0.526780383
A Cianchi,namsor_api_2.0.30,LATIN,f2419a74-2733-4dd1-9eda-095c2fb889da,A Cianchi,male,-0.053560766,0.219874226,0.526780383
A Cianchi,namsor_api_2.0.30,LATIN,2b16b9e6-268a-44d5-887d-2f6e243fd37c,A Cianchi,male,-0.053560766,0.219874226,0.526780383
A Cianchi,namsor_api_2.0.30,LATIN,599c3499-b404-4e50-9f15-36f8df1a5304,A Cianchi,male,-0.053560766,0.219874226,0.526780383
A Cianchi,namsor_api_2.0.30,LATIN,c379b6e2-9ca7-42c0-9a7b-24310ae27dd6,A Cianchi,male,-0.053560766,0.219874226,0.526780383
A Crowder,namsor_api_2.0.30,LATIN,94080ef0-4270-4a4f-888d-a6fed5973dc6,A Crowder,male,-0.05703369,0.366936394,0.528516845
A Dabbs,namsor_api_2.0.30,LATIN,7c91a529-560e-4b7c-99db-98b080906263,A Dabbs,male,-0.063439566,0.650248507,0.531719783
A Davoudi,namsor_api_2.0.30,LATIN,ae995ff6-0ccb-4dd7-96aa-97bd2ac17e92,A Davoudi,male,-0.055258467,0.291371532,0.527629234
A Davoudi,namsor_api_2.0.30,LATIN,aa9c263a-cefd-419c-8929-c5e96fdf2b2f,A Davoudi,male,-0.055258467,0.291371532,0.527629234
A Davoudi,namsor_api_2.0.30,LATIN,0cb68c00-fa41-468c-970b-07791c6a3e2f,A Davoudi,male,-0.055258467,0.291371532,0.527629234
A Debus,namsor_api_2.0.30,LATIN,4e39f9f0-644f-4e70-a36c-08447f2112f4,A Debus,male,-0.06340112,0.648481834,0.53170056
A Deng,namsor_api_2.0.30,LATIN,edd536a3-6245-4e85-a2f8-1e97bb6d0933,A Deng,male,-0.054652113,0.265759789,0.527326057
A Deng,namsor_api_2.0.30,LATIN,11f30df9-8de9-4218-a28e-ad5768bedcfb,A Deng,male,-0.054652113,0.265759789,0.527326057
A Deng,namsor_api_2.0.30,LATIN,50a8ed29-370c-4f5a-8cd7-586a5afc6d1a,A Deng,male,-0.054652113,0.265759789,0.527326057
A Deorukhkar,namsor_api_2.0.30,LATIN,8063e31f-5a0b-425c-898e-ac464d6a82a9,A Deorukhkar,male,-0.06663712,0.80098285,0.53331856
A Dixit,namsor_api_2.0.30,LATIN,1d66ca64-8388-4528-a5b4-0c4b0501b3a4,A Dixit,male,-0.069580067,0.947766848,0.534790034
A Dorie-Leroy,namsor_api_2.0.30,LATIN,83b4d4b0-72d5-487a-a963-fea26490d4a9,A Dorie-Leroy,male,-0.056115206,0.327723759,0.528057603
A Dorokhov,namsor_api_2.0.30,LATIN,90e6345d-abd3-4e2b-807f-694b130e42dc,A Dorokhov,male,-0.333344544,2.826786533,0.666672272
A Dotto,namsor_api_2.0.30,LATIN,b3558128-df89-4cb6-a9bb-9ab276c4c215,A Dotto,male,-0.048907497,0.026211825,0.524453748
A Dubrawski,namsor_api_2.0.30,LATIN,1a4f022e-4d84-4248-bc31-3542e8f1e46b,A Dubrawski,male,-0.051603821,0.138136782,0.525801911
A Dubrawski,namsor_api_2.0.30,LATIN,20d6c9bf-19c9-4522-92cc-c3741592933e,A Dubrawski,male,-0.051603821,0.138136782,0.525801911
A Dubrawski,namsor_api_2.0.30,LATIN,14ca3d09-1df2-4256-a024-633651d5a8b3,A Dubrawski,male,-0.051603821,0.138136782,0.525801911
A Duggal,namsor_api_2.0.30,LATIN,5e08545e-ca7f-45d8-ac43-c9e955eff0b9,A Duggal,male,-0.066728105,0.805393636,0.533364053
A Duggal,namsor_api_2.0.30,LATIN,192433ea-38c8-4b2e-9767-f5c458c72451,A Duggal,male,-0.066728105,0.805393636,0.533364053
A Duggal,namsor_api_2.0.30,LATIN,261fa443-0e41-4a40-b2bc-c259abe35215,A Duggal,male,-0.066728105,0.805393636,0.533364053
A Duggal,namsor_api_2.0.30,LATIN,1f84dd17-6e0d-489e-b58f-1e197f82d575,A Duggal,male,-0.066728105,0.805393636,0.533364053
A Duperrin,namsor_api_2.0.30,LATIN,1e27848c-22ef-4b44-a00f-48470db16748,A Duperrin,male,-0.056764985,0.355437032,0.528382492
A Döpp,namsor_api_2.0.30,LATIN,eaeb838f-d792-4e5b-af80-c3ab5d6ad4ed,A Döpp,female,0.059786751,0.486293726,0.529893375
A ElMeligy,namsor_api_2.0.30,LATIN,1ed581ed-3308-43b4-a3a9-964130d70d45,A ElMeligy,male,-0.049825549,0.06426682,0.524912774
A Escarguel,namsor_api_2.0.30,LATIN,c4cbff33-f8ce-4eaf-a1fd-366034f5fee6,A Escarguel,male,-0.057502061,0.387038514,0.52875103
A Esposito,namsor_api_2.0.30,LATIN,2b1b4e81-8cb2-48ed-b201-420fa4267925,A Esposito,female,0.06377299,0.665611718,0.531886495
A Falone,namsor_api_2.0.30,LATIN,16e5363c-0c49-4891-919e-77ae97d67471,A Falone,female,0.197858132,1.61764267,0.598929066
A Falou,namsor_api_2.0.30,LATIN,bfd1bd47-75a3-4e36-bc4c-c7ba854a507d,A Falou,male,-0.065881163,0.764615493,0.532940582
A Favaro,namsor_api_2.0.30,LATIN,8ec60287-9ce9-437b-9b5e-ea07d15332a2,A Favaro,male,-0.054409197,0.255524001,0.527204599
A Favaro,namsor_api_2.0.30,LATIN,77b297f5-775a-4f04-a291-383cf9d54e78,A Favaro,male,-0.054409197,0.255524001,0.527204599
A Fenigstein,namsor_api_2.0.30,LATIN,74b05fba-d220-4fb5-a268-2786d0aa3c15,A Fenigstein,male,-0.050702954,0.100680072,0.525351477
