firstName,apiVersion,script,id,firstName,lastName,likelyGender,genderScale,score,probabilityCalibrated
A Boster,namsor_api_2.0.30,LATIN,603c0143-f29b-4da3-b262-e9a5a5b4ad37,A Boster,,male,-0.9589189107774774,8.012206731666648,0.9794594553887387
A Boster,namsor_api_2.0.30,LATIN,966938a4-2b6d-42bc-9a85-5675442c926f,A Boster,,male,-0.9589189107774774,8.012206731666648,0.9794594553887387
A Bradley,namsor_api_2.0.30,LATIN,74d30371-dc92-487a-959e-e1d070250e95,A Bradley,,male,-0.9072432936528712,7.1289321295737125,0.9536216468264356
A Brender,namsor_api_2.0.30,LATIN,e6042cab-2a7e-4112-829b-1250d27376d8,A Brender,,female,0.3271044919239259,1.8869985243291154,0.6635522459619629
A Broquet,namsor_api_2.0.30,LATIN,86edb3d1-2912-4386-95bb-48acd1fc7a80,A Broquet,,male,-0.2608271329193781,1.5103615782570223,0.630413566459689
A Budzyski,namsor_api_2.0.30,LATIN,5d278676-c6f1-4f0f-8273-1fe2bf7082d4,A Budzyski,,female,0.036103516831503146,0.1725888244206252,0.5180517584157516
A Budzyski,namsor_api_2.0.30,LATIN,d250eb3c-b5b6-4a05-ac4a-0f2832b21eb3,A Budzyski,,female,0.036103516831503146,0.1725888244206252,0.5180517584157516
A Bullappa,namsor_api_2.0.30,LATIN,03b25ff2-88fd-43d9-bda2-005df584c52f,A Bullappa,,female,0.07979340548004066,0.5796211007257915,0.5398967027400203
A Bürger,namsor_api_2.0.30,LATIN,47574b28-f36e-45d4-aa6d-cc796a9ef6da,A Bürger,,male,-0.3163925980898459,1.818992996361317,0.6581962990449229
A Campeau,namsor_api_2.0.30,LATIN,e4793cb0-f91a-4933-8920-dc4f2cdfa8da,A Campeau,,male,-0.22706931181840995,1.349239023110112,0.613534655909205
A Catherine,namsor_api_2.0.30,LATIN,2195f823-d137-4a9e-86da-04dd98997601,A Catherine,,female,0.9524327543701312,7.802231049852637,0.9762163771850656
A Cesar,namsor_api_2.0.30,LATIN,3c8e58cd-9848-4d75-bcb7-538fa26397b9,A Cesar,,male,-0.9504203312406316,7.751611215402555,0.9752101656203158
A Charuvastra,namsor_api_2.0.30,LATIN,94cc4f4c-003f-471e-8c80-4425cb6e9cbd,A Charuvastra,,female,0.12792683913417213,0.8580651908907662,0.5639634195670861
A Christie,namsor_api_2.0.30,LATIN,937c33f5-b57b-42d8-91e5-1d1305db72ce,A Christie,,female,0.8175269697057221,6.0823298590856965,0.9087634848528611
A Chua,namsor_api_2.0.30,LATIN,c22a7887-8b61-4de3-926c-6fde6e58b5cf,A Chua,,male,-0.37416917906985026,2.2358202074517664,0.6870845895349251
A Chumachenko,namsor_api_2.0.30,LATIN,c76575b8-a3ea-48c7-9e33-bda0a37cce8b,A Chumachenko,,male,-0.29739932184619944,1.7060077521403372,0.6486996609230997
A Cikova,namsor_api_2.0.30,LATIN,5c40932d-6df6-4b4b-b437-f562ca0f65b4,A Cikova,,female,0.34934272932798494,2.040204353821384,0.6746713646639925
A Clymer,namsor_api_2.0.30,LATIN,34fd309b-8d10-41e7-a1a0-d917367af602,A Clymer,,male,-0.3172090798840781,1.824059838051209,0.658604539942039
A Copas,namsor_api_2.0.30,LATIN,7d53766f-ea46-4429-8c83-3cee44d83832,A Copas,,male,-0.35679408093788556,2.095822732729193,0.6783970404689428
A Copello,namsor_api_2.0.30,LATIN,4c65755a-1875-41ea-a8f9-a387c5066dbe,A Copello,,male,-0.3073709532595785,1.7641992733969156,0.6536854766297893
A Coste,namsor_api_2.0.30,LATIN,1baf9318-579b-4097-858c-9509f779017c,A Coste,,male,-0.44441941995796497,3.070836186059246,0.7222097099789825
A Couturier,namsor_api_2.0.30,LATIN,a3bee415-63cc-4675-a484-bd78948a4b89,A Couturier,,male,-0.19843473313980442,1.223656249949446,0.5992173665699022
A Cremona,namsor_api_2.0.30,LATIN,4ff09890-e307-4045-90d6-a7322ff67cb7,A Cremona,,male,-0.20796138912297724,1.2644570943402016,0.6039806945614886
A Curtis,namsor_api_2.0.30,LATIN,ff3d736e-e255-49a6-a2ba-7fecd93b6ac8,A Curtis,,male,-0.9482082871158735,7.698773399789943,0.9741041435579367
A Dahan,namsor_api_2.0.30,LATIN,70de7027-0a70-4aec-b23f-f1a821ce0992,A Dahan,,male,-0.7049414986104561,5.012021444252589,0.852470749305228
A Das,namsor_api_2.0.30,LATIN,5252b6b4-8d4e-4bf9-86d5-ba1519b14b66,A Das,,male,-0.7813894562342829,5.609581815662395,0.8906947281171415
A Delers,namsor_api_2.0.30,LATIN,e44ed4e1-85fe-48b2-90f7-4d81c0cdaa79,A Delers,,male,-0.2934983883235869,1.6838690566993473,0.6467491941617934
A Descazeaud,namsor_api_2.0.30,LATIN,f65cafbd-2db5-4947-8258-a8daa344863c,A Descazeaud,,male,-0.32853690823063797,1.8963545762272247,0.664268454115319
A Descazeaud,namsor_api_2.0.30,LATIN,0aa8df62-f37e-44e1-962e-304305b4f3fc,A Descazeaud,,male,-0.32853690823063797,1.8963545762272247,0.664268454115319
A Desparoir,namsor_api_2.0.30,LATIN,77201781-4a62-4499-a94e-282ba9ac187c,A Desparoir,,male,-0.10440523227991072,0.7186614337898652,0.5522026161399554
A Desparoir,namsor_api_2.0.30,LATIN,353ab0d0-1e0b-4672-8ed1-7dad4b609bcc,A Desparoir,,male,-0.10440523227991072,0.7186614337898652,0.5522026161399554
A Doerfler,namsor_api_2.0.30,LATIN,cb5007ae-1b21-4884-8155-9e32765bd54f,A Doerfler,,male,-0.27407291202718786,1.578325270899061,0.6370364560135939
A Doerfler,namsor_api_2.0.30,LATIN,aa8b6e6b-6456-4f38-b9f4-ad91bf007824,A Doerfler,,male,-0.27407291202718786,1.578325270899061,0.6370364560135939
A Donati,namsor_api_2.0.30,LATIN,f92512b9-a7d2-431a-87b9-70906c00ee6d,A Donati,,male,-0.4359467009399689,2.9312848374664497,0.7179733504699845
A Donnaint,namsor_api_2.0.30,LATIN,83a7ea64-65f8-4e96-aa70-6593a169ee35,A Donnaint,,female,0.035142302754844534,0.11445519835165278,0.5175711513774223
A Donnaint,namsor_api_2.0.30,LATIN,090d9ec2-e062-4de7-881c-e971af280013,A Donnaint,,female,0.035142302754844534,0.11445519835165278,0.5175711513774223
A Droop,namsor_api_2.0.30,LATIN,ebc96709-c24b-40d2-93a9-801b11b65508,A Droop,,male,-0.897962625536362,7.042038496891564,0.948981312768181
A Duggal,namsor_api_2.0.30,LATIN,c61b7d0e-39cc-480a-b3b1-9a64ee026994,A Duggal,,male,-0.8085710413791813,5.942887735781348,0.9042855206895907
A Duggal,namsor_api_2.0.30,LATIN,3e8bbad3-a52c-4345-a827-ef291f1fd995,A Duggal,,male,-0.8085710413791813,5.942887735781348,0.9042855206895907
A Dutour,namsor_api_2.0.30,LATIN,4ab1c79d-1964-48ea-86c6-b5645bbd3383,A Dutour,,male,-0.3739464582082319,2.233922984176939,0.686973229104116
A Dutour,namsor_api_2.0.30,LATIN,549f5962-4adb-4462-bd9a-bf8794a647f6,A Dutour,,male,-0.3739464582082319,2.233922984176939,0.686973229104116
A Eisele,namsor_api_2.0.30,LATIN,831c58c9-9fcd-4175-85d1-4eb00834a616,A Eisele,,female,0.08101285920871315,0.5863735458592778,0.5405064296043566
A ElMeligy,namsor_api_2.0.30,LATIN,3afcbc85-72ad-4f23-a8f3-c7f21ed8d686,A ElMeligy,,male,-0.07605886239163517,0.5590209398355698,0.5380294311958176
A Eloyan,namsor_api_2.0.30,LATIN,8f100240-24c0-4c28-b01c-e93c7ea51170,A Eloyan,,male,-0.292971493287862,1.680904508136738,0.646485746643931
A Erdogan,namsor_api_2.0.30,LATIN,8494d445-967d-4e18-b38f-53bfbe0312cd,A Erdogan,,male,-0.9536505746802217,7.834155395697778,0.9768252873401109
A Escoval,namsor_api_2.0.30,LATIN,5fed2cdb-e94c-4181-9522-646d318523be,A Escoval,,male,-0.32618410298335876,1.8810207295046375,0.6630920514916794
A Essig,namsor_api_2.0.30,LATIN,1fd47098-458d-40a1-a74d-a5d97186aa27,A Essig,,male,-0.08180234547187881,0.5907520775202747,0.5409011727359394
A Fasano,namsor_api_2.0.30,LATIN,8976111a-dc3e-4faf-9c3d-366fec3cf07c,A Fasano,,male,-0.6710516917834204,4.603831404403337,0.8355258458917102
A Ferrari,namsor_api_2.0.30,LATIN,395f1412-284a-47cb-9dd0-21033f7d45a9,A Ferrari,,male,-0.4858201658641521,3.5488110600634712,0.742910082932076
A Finucane,namsor_api_2.0.30,LATIN,eb3738a0-f934-468f-9a57-f408b958f804,A Finucane,,female,0.13841045781484462,0.9227513500915059,0.5692052289074223
